University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
University of Wisconsin - Madison (UW),Physics,29382.0,1.29,2021-2022,STEM,
University of Wisconsin - Madison (UW),Physics,21000.0,0.92,2021-2022,STEM,
Case Western Reserve University,Molecular Medicine,33500.0,1.68,2022-2023,STEM,
University of Wisconsin - Madison (UW),Physics,27800.0,1.22,2020-2021,STEM,
Saint Louis University ,English ,17700.0,,2020-2021,Humanities,
Emory University,physics,31100.0,1.34,2020-2021,STEM,
Iowa State University,Agricultural and Biosystems,23300.0,,2020-2021,STEM,
George Washington University (GW),Political Science,31800.0,1.03,2021-2022,Social Science,
Michigan State University (MSU),School Psychology,22167.0,1.08,2021-2022,Social Science,
Pennsylvania State University (Penn State),Psychology ,24000.0,1.07,2021-2022,Social Science,
University of California - San Diego (UCSD),Clinical Psychology,25000.0,0.94,2020-2021,Social Science,
University of Houston (UH),Psychology,22472.0,1.03,2019-2020,Social Science,
University of Southern California (USC),Psychology,30500.0,1.18,2020-2021,Social Science,
University of Utah,Organizational Behavior,32000.0,1.44,2022-2023,Social Science,
University of Wisconsin - Madison (UW),English,24300.0,1.06,2021-2022,Humanities,
University of Michigan - Ann Arbor (UM),Information Science,36081.0,1.56,2022-2023,STEM,
Michigan State University (MSU),Communication,21000.0,1.02,2020-2021,Social Science,
North Carolina State University (NCSU),Mathematics,16600.0,0.73,2020-2021,STEM,
University of Virginia (UVA),Psychology,24000.0,1.05,2020-2021,Social Science,
University of Colorado - Boulder (UCB),Psychology & Neuroscience,23464.0,0.92,2021-2022,Social Science,
Baylor University (BU),Psychology and Neuroscience,29000.0,1.46,2021-2022,Social Science,
St. Louis University (SLU),Chemistry,23350.0,1.13,2020-2021,STEM,
Case Western Reserve University,Experimental Psychology,20000.0,1.16,2014-2015,Social Science,
Columbia University (CU),Epidemiology,42000.0,1.41,2021-2022,STEM,Ivy
Fordham University (FU),Psychology,23500.0,0.79,2021-2022,Social Science,
University of Rochester (UR),Psychology,21000.0,0.98,2021-2022,Social Science,
Old Dominion University (ODU),Educational Foundations & Leadership,17900.0,0.67,2020-2021,Social Science,
Massachusetts Institute of Technology (MIT),Chemical engineering,58000.0,2.08,2020-2021,STEM,
University of Denver (DU),Psychology,21600.0,0.96,2021-2022,Social Science,
Purdue University - West Lafayette,Psychological Sciences,24500.0,1.16,2021-2022,Social Science,
Lehigh University,Materials Science,34300.0,1.53,2020-2021,STEM,
University of Louisville (U of L),Psychological and Brain Sciences,21500.0,1.04,2021-2022,Social Science,
Massachusetts Institute of Technology (MIT),Biological Engineering,44700.0,1.6,2020-2021,STEM,
Stanford University (SU),Genetics,47280.0,1.65,2020-2021,STEM,
Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,25650.0,1.1,2020-2021,STEM,
Tufts University (TU),Psychology,28000.0,1.0,2020-2021,Social Science,
University of California - Los Angeles (UCLA),Psychology,30000.0,1.16,2021-2022,Social Science,
Pennsylvania State University (Penn State),Industrial Engineering ,33207.0,1.48,2021-2022,STEM,
University of Chicago (UC),Psychology,32000.0,1.32,2022-2023,Social Science,
Yale University (YU),School of the Environment ,33600.0,1.36,2020-2021,STEM,Ivy
Stanford University (SU),Psychology,47000.0,1.64,2020-2021,Social Science,
Arizona State University (ASU),Astrophysics,26524.0,1.2,2022-2023,STEM,
University of Pittsburgh,Bioengineering,29970.0,1.45,2020-2021,STEM,
University of California - Los Angeles (UCLA),Psychology,26840.0,1.04,2020-2021,Social Science,
University of Illinois - Chicago (UIC),Psychology,22615.0,0.93,2020-2021,Social Science,
University of Rochester (UR),Psychology,23000.0,1.08,2019-2020,Social Science,
Stony Brook University - SUNY,Clinical psychology,22350.0,0.8,2020-2021,Social Science,
University of Washington (UW),Computer Science and Engineering,28116.0,1.21,2020-2021,STEM,
University of Wisconsin - Madison (UW),Scandinavian Studies,22740.0,1.0,2021-2022,Humanities,
Iowa State University (ISU),Psychology,18600.0,0.88,2020-2021,Social Science,
Harvard University (HU),Health Policy,32088.0,1.12,2021-2022,Social Science,
University of Pennsylvania,School of Social Policy & Practice ,32979.0,1.37,2022-2023,Social Science,Ivy
University of California - Los Angeles (UCLA),Community Health Sciences,58000.0,2.24,2020-2021,Social Science,
Columbia University (CU) - Teachers College,Clinical Psychology,21000.0,,2020-2021,Social Science,Ivy
University of Kansas (KU),Communication Studies,17750.0,0.87,2020-2021,Humanities,
Northwestern University (NU),McCormick School of Engineering,35196.0,1.45,2022-2023,STEM,
University of Massachusetts - Amherst (UMass),Communication,26400.0,1.15,2021-2022,Social Science,
University of Wisconsin - Madison (UW),Computer Science,21597.0,0.95,2021-2022,STEM,
University of Connecticut (UConn),Linguistics ,22300.0,0.92,2020-2021,Social Science,
University of Massachusetts - Lowell (UML),Criminology,18000.0,0.64,2021-2022,Social Science,
University of California - Davis (UCD),Chemistry,30900.0,1.29,2020-2021,STEM,
University of North Carolina - Chapel Hill (UNC),Epidemiology,25320.0,1.14,2020-2021,STEM,
University of Wisconsin - Madison (UW),Second Language Acquisition ,24250.0,1.06,2021-2022,Humanities,
University of California - Davis (UCD),Integrative Genetics and Genomics,35000.0,1.46,2020-2021,STEM,
Boston University (BU),Graduate Program for Neuroscience ,36782.0,1.28,2021-2022,STEM,
Harvard University (HU),Education,36000.0,1.26,2020-2021,Social Science,
University of Wisconsin - Madison (UW),Electrical and Computer Engineering ,25545.0,1.12,2020-2021,STEM,
Sam Houston State University,Criminal Justice,26000.0,1.29,2021-2022,Social Science,
Sam Houston State University,Criminal Justice,26000.0,1.29,2021-2022,Social Science,
Simon Fraser University,Computing Science,24000.0,,2020-2021,STEM,
University of Pennsylvania,Psychology,32000.0,1.33,2021-2022,Social Science,Ivy
West Virginia University (WVU),Geology & Geography,25650.0,1.15,2021-2022,STEM,
University of Cincinnati (UC),Business Administration,20600.0,1.07,2020-2021,Business,
University of Florida (UF),Social and Personality Psychology,18363.0,0.81,2020-2021,Social Science,
University of Mississippi (Ole Miss),Psychology ,33000.0,1.52,2021-2022,Social Science,
George Washington University (GW),Education ,26500.0,0.86,2020-2021,Social Science,
Massachusetts Institute of Technology (MIT),Economics,35181.0,1.26,2020-2021,Social Science,
Washington State University (WSU),eecs,17000.0,0.9,2020-2021,STEM,
George Washington University (GW),Graduate school of education and human development ,26500.0,0.86,2020-2021,Social Science,
University of Washington (UW),Information Science,26250.0,1.13,2021-2022,STEM,
University of Washington (UW),Human Centered Design & Engineering,26232.0,1.13,2021-2022,STEM,
CUNY Graduate School and University Center,Sociology,26612.0,0.89,2020-2021,Social Science,
Michigan State University (MSU),Social Work,21450.0,1.05,2021-2022,Social Science,
Carnegie Mellon University (CMU),Robotics Institute,36720.0,1.77,2020-2021,STEM,
University of Iowa (UI),Psychological and Brain Sciences ,20800.0,0.94,2021-2022,Social Science,
University at Albany - SUNY,Sociology,25600.0,1.12,2020-2021,Social Science,
Ohio State University (OSU),political science,25100.0,1.25,2021-2022,Social Science,
Stony Brook University - SUNY,Psychology,25000.0,0.9,2022-2023,Social Science,
University of California - Berkeley,Political Science,35000.0,1.26,2020-2021,Social Science,
Yale University (YU),School of the Environment,36400.0,1.47,2021-2022,STEM,Ivy
Florida International University (FIU),Psychology ,17340.0,0.73,2020-2021,Social Science,
Georgetown University,Biology PhD,36210.0,1.17,2021-2022,STEM,
University of Kansas (KU),Business,28000.0,1.37,2020-2021,Business,
Stanford University (SU),Psychology,37000.0,1.29,2015-2016,Social Science,
University of Chicago (UC),Neurobiology,34000.0,1.4,2020-2021,STEM,
Loyola University Chicago (LUC),Psychology,15500.0,0.71,2011-2012,Social Science,
Columbia University (CU),Political Science,44500.0,1.5,2020-2021,Social Science,Ivy
University of California - Berkeley,Psychology,34000.0,1.22,2020-2021,Social Science,
Washington University in St. Louis (Wash U),Political Science,27952.0,1.35,2021-2022,Social Science,
Northwestern University (NU),Driskill Graduate Program in Life Sciences,34051.0,1.4,2021-2022,Social Science,
University of Pennsylvania,Annenberg School for Communication,40000.0,1.66,2022-2023,Social Science,Ivy
University of California - Berkeley,Linguistics,53500.0,1.93,2020-2021,Social Science,
Duke University (DU),Psychology and Neuroscience,31500.0,1.42,2021-2022,Social Science,
University of California - Los Angeles (UCLA),Medical Scientist Training Program,37500.0,1.45,2020-2021,STEM,
University of Rochester (UR),neuroscience,31376.0,1.47,2021-2022,STEM,
University of Iowa (UI),Philosophy,19828.0,0.89,2020-2021,Humanities,
Boston College (BC),social work,24950.0,0.89,2021-2022,Social Science,
Stanford University (SU),Psychology,46000.0,1.6,2020-2021,Social Science,
Harvard University (HU),Government,36850.0,1.29,2021-2022,Social Science,
Syracuse University,Psychology,22675.0,1.06,2020-2021,Social Science,
Carnegie Mellon University (CMU),Physics,25200.0,1.46,2011-2012,STEM,
University of Southern California (USC),History,30000.0,1.16,2020-2021,Humanities,
Pennsylvania State University (Penn State),Criminology,25000.0,1.11,2020-2021,Social Science,
Stanford University (SU),computer science,45700.0,1.59,2020-2021,STEM,
Northwestern University (NU),Civil and Environmental Engineering,33676.0,1.39,2021-2022,STEM,
University of Minnesota - Twin Cities (UM),Hubbard School of Journalism and Mass Communication,28000.0,1.22,2021-2022,Social Science,
University of South Carolina (USC),Biological sciences,20000.0,0.89,2020-2021,STEM,
University of Michigan - Ann Arbor (UM),Computer Science,33500.0,1.45,2022-2023,STEM,
University of California - Davis (UCD),Psychology,25000.0,1.04,2021-2022,Social Science,
Carnegie Mellon University (CMU),English,26700.0,1.29,2021-2022,Humanities,
University of British Columbia,Institute for the Oceans and Fisheries,28000.0,,2021-2022,STEM,
Cornell University (CU),Psychology,34000.0,1.4,2021-2022,Social Science,Ivy
University of Oregon (UO),Psychology,22359.0,1.07,2020-2021,Social Science,
Indiana University,Psychological and Brain Sciences,23400.0,1.08,2020-2021,Social Science,
Florida International University (FIU),Chemistry,22000.0,0.92,2020-2021,STEM,
University of Maryland - Baltimore County (UMBC),Psychology,20000.0,0.78,2021-2022,Social Science,
University of Massachusetts - Amherst (UMass),Psychological and Brain Sciences,30328.0,1.32,2020-2021,Social Science,
University of Oregon (UO),Psychology,24081.0,1.15,2021-2022,Social Science,
Rutgers the State University of New Jersey - New Brunswick,Psychology ,25969.0,1.01,2018-2019,Social Science,
Boston University (BU),Psychological and Brain Sciences,20000.0,0.7,2017-2018,Social Science,
University of Iowa (UI),Psychological and Brain Sciences,27918.0,1.26,2022-2023,Social Science,
University of North Texas (UNT),Political science,16500.0,0.77,2021-2022,Social Science,
CUNY Graduate School and University Center,Basic and Applied Social Psychology PhD,37136.0,1.25,2021-2022,Social Science,
Northwestern University (NU),History,34576.0,1.43,2020-2021,Humanities,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,34000.0,1.55,2021-2022,STEM,
University of Wisconsin - Madison (UW),Chemical and Biological Engineering,33000.0,1.45,2022-2023,STEM,
University of Utah,Computer Science,23464.0,1.05,2022-2023,STEM,
Boston University (BU),Electrical,37000.0,1.29,2022-2023,STEM,
University of California - Santa Barbara (UCSB),Philosophy ,22000.0,0.84,2020-2021,Humanities,
Johns Hopkins University (JHU),Public health ,25000.0,0.97,2022-2023,Social Science,
Rochester Institute of Technology (RIT),Photography,44069.0,2.06,2022-2023,STEM,
Washington University in St. Louis (Wash U),Earth and Planetary ,40000.0,1.93,2022-2023,STEM,
University of Colorado - Boulder (UCB),Anthropology,23074.0,0.9,2022-2023,Humanities,
University of Pittsburgh,Communication,24432.0,1.18,2022-2023,Social Science,
Stony Brook University - SUNY,Computer Science,38300.0,1.37,2022-2023,STEM,
University of Florida (UF),Electrical and Computer Engineering,22800.0,1.0,2021-2022,STEM,
University of Florida (UF),Electrical and Computer Engineering,22800.0,1.0,2020-2021,STEM,
University of California - San Diego (UCSD),Philosophy,30000.0,1.13,2022-2023,Humanities,
Rice University,Philosophy,27320.0,1.25,2022-2023,Humanities,
University of California - Riverside (UCR),Philosophy,20898.0,0.87,2021-2022,Humanities,
University of California - Riverside (UCR),Philosophy,23121.0,0.96,2020-2021,Humanities,
University of Minnesota - Twin Cities (UM),Biomedical Engineering,28500.0,1.24,2021-2022,STEM,
Virginia Tech,Chemistry ,22400.0,1.06,2020-2021,STEM,
Princeton University,Anthropology,45600.0,1.79,2021-2022,Humanities,Ivy
University of Texas - Austin (UT),nutritional sciences,29130.0,1.28,2022-2023,Social Science,
Indiana University,English,15500.0,0.72,2022-2023,Humanities,
University of Southern California (USC),American Studies and Ethnicity,32500.0,1.26,2022-2023,Humanities,
Yale University (YU),Biological and Biomedical Sciences,39200.0,1.59,2022-2023,STEM,Ivy
Virginia Commonwealth University (VCU),Clinical Psychology,20800.0,0.84,2021-2022,Social Science,
Texas A&amp;M; University - College Station,Electrical and Computer Engineering,24000.0,,2021-2022,STEM,
Syracuse University,Philosophy,22104.0,1.04,2021-2022,Humanities,
Brown University,philosophy,30000.0,1.32,2022-2023,Humanities,Ivy
University of Southern California (USC),American Studies,31000.0,1.2,2022-2023,Humanities,
New York University (NYU),American Studies,31000.0,1.04,2022-2023,Humanities,
New York University (NYU),american studies ,30800.0,1.04,2022-2023,Humanities,
University of Virginia (UVA),Philosophy,26000.0,1.14,2022-2023,Humanities,
University of Notre Dame (ND),Philosophy ,25000.0,1.22,2020-2021,Humanities,
University of California - Riverside (UCR),Philosophy,26000.0,1.08,2020-2021,Humanities,
Duke University (DU),Philosophy ,33000.0,1.48,2022-2023,Humanities,
University of Southern California (USC),Philosophy,33960.0,1.31,2021-2022,Humanities,
Emory University,Philosophy ,30000.0,1.29,2022-2023,Humanities,
University of North Carolina - Chapel Hill (UNC),philosophy,24000.0,1.08,2022-2023,Humanities,
University of Minnesota - Twin Cities (UM),Philosophy,19500.0,0.85,2021-2022,Humanities,
University of California - Berkeley,philosophy,35000.0,1.26,2020-2021,Humanities,
Clark University,Geography,19605.0,0.87,2022-2023,STEM,
University of California - Santa Barbara (UCSB),computational media,26407.0,1.01,2022-2023,STEM,
University of Chicago (UC),Biological Sciences,35700.0,1.47,2022-2023,STEM,
University of Chicago (UC),Biological Sciences,35700.0,1.47,2020-2021,STEM,
CUNY Graduate School and University Center,Political Science,36794.0,1.24,2022-2023,Social Science,
Columbia University (CU),Education Policy,24100.0,0.81,2022-2023,Social Science,Ivy
University of Washington (UW),philosophy,25674.0,1.1,2021-2022,Humanities,
Temple University (TU),Psychology,20677.0,0.86,2020-2021,Social Science,
Temple University (TU),Philosophy,30000.0,1.24,2021-2022,Humanities,
Duquesne University (DU),Philosophy,18000.0,0.87,2022-2023,Humanities,
University of Maryland - College Park (UMD),Philosophy ,23000.0,0.76,2022-2023,Humanities,
DePaul University (DPU),Philosophy ,25000.0,1.03,2022-2023,Humanities,
Pennsylvania State University (Penn State),Philosophy,31000.0,1.38,2019-2020,Humanities,
Brown University,Philosophy,38800.0,1.7,2022-2023,Humanities,Ivy
DePaul University (DPU),Philosophy,24900.0,1.03,2020-2021,Humanities,
Vanderbilt University,Philosophy,34220.0,1.49,2022-2023,Humanities,
University of Minnesota - Twin Cities (UM),philosophy,22000.0,0.96,2021-2022,Humanities,
University of Minnesota - Twin Cities (UM),Philosophy,22800.0,1.0,2021-2022,Humanities,
Johns Hopkins University (JHU),philosophy,33000.0,1.28,2022-2023,Humanities,
TTIC,CS,40000.0,,2022-2023,STEM,
Columbia University (CU),Electrical,46000.0,1.55,2022-2023,STEM,Ivy
Ohio State University (OSU),Sociology,36000.0,1.79,2022-2023,Social Science,
University of California - San Diego (UCSD),biology,34000.0,1.28,2020-2021,STEM,
University of Texas - Austin (UT),Communications,30000.0,1.31,2022-2023,Social Science,
University of California - San Diego (UCSD),Biological Sciences,34000.0,1.28,2020-2021,STEM,
University of Texas - Austin (UT),Economics,22000.0,0.96,2020-2021,Social Science,
University of California - San Diego (UCSD),Biomedical sciences,34481.0,1.3,2021-2022,STEM,
University of Michigan - Ann Arbor (UM),Neuroscience,34794.0,1.51,2022-2023,STEM,
University of Southern California (USC),Biology of Aging,38000.0,1.47,2020-2021,STEM,
University of Chicago (UC),Social Work,33000.0,1.36,2020-2021,Social Science,
Emory University,Epidemiology,32286.0,1.39,2022-2023,STEM,
University of California - San Diego (UCSD),Bioinformatics and Systems Biology,33000.0,1.25,2021-2022,STEM,
University of Kentucky (UK),Molecular and cellular biochemistry ,26000.0,1.27,2020-2021,STEM,
Vanderbilt University,Microbe-Host Interaction,33000.0,1.44,2022-2023,STEM,
University of Pennsylvania,Pharmacology ,35000.0,1.45,2022-2023,STEM,Ivy
Yale University (YU),History,33600.0,1.36,2021-2022,Humanities,Ivy
Yale University (YU),english,31800.0,1.29,2020-2021,Humanities,Ivy
Yale University (YU),Chemical and Environmental Engineering,36000.0,1.46,2020-2021,STEM,Ivy
University of Chicago (UC),History,42925.0,1.77,2020-2021,Humanities,
University of California - San Diego (UCSD),Biology,34000.0,1.28,2020-2021,STEM,
Yale University (YU),Medieval Studies,33600.0,1.36,2020-2021,Humanities,Ivy
CUNY Graduate School and University Center,Psychology,24700.0,0.83,2020-2021,Social Science,
University of California - San Diego (UCSD),Neuroscience ,34000.0,1.28,2021-2022,STEM,
University of California - San Diego (UCSD),psychology,36000.0,1.36,2020-2021,Social Science,
University of California - San Diego (UCSD),Biomedical Sciences,36000.0,1.36,2022-2023,STEM,
Stony Brook University - SUNY,Geosciences,33400.0,1.2,2021-2022,STEM,
Cornell University (CU),History,34691.0,1.43,2021-2022,Humanities,Ivy
University of Utah,Communications,20500.0,0.92,2022-2023,Social Science,
University of Utah,Communications,20500.0,0.92,2022-2023,Social Science,
Pennsylvania State University (Penn State),Communications,23490.0,1.05,2022-2023,Social Science,
University of Wisconsin - Madison (UW),Communications,20392.0,0.89,2022-2023,Social Science,
Stanford University (SU),Political Science,51679.0,1.8,2022-2023,Social Science,
Georgia State University (GSU),Psychology,29700.0,1.28,2021-2022,Social Science,
University at Albany - SUNY,Psychology,17627.0,0.77,2021-2022,Social Science,
University of Pennsylvania,Psychology,32000.0,1.33,2020-2021,Social Science,Ivy
University of Pennsylvania,Psychology,32000.0,1.33,2020-2021,Social Science,Ivy
University of California - Santa Barbara (UCSB),Education,28658.0,1.09,2020-2021,Social Science,
Arizona State University (ASU),School for the Future of Innovation in Society,17900.0,0.81,2020-2021,Social Science,
Texas A&amp;M; University - College Station,Psychology,18000.0,,2021-2022,Social Science,
University of California - Irvine (UCI),Informatics,22000.0,0.75,2021-2022,STEM,
University of California - Irvine (UCI),Computer Science - Informatics ,22000.0,0.75,2021-2022,STEM,
The University of Iowa,Psychological and Brain Sciences,21500.0,,2020-2021,Social Science,
University of Pennsylvania,Mechanical Engineering,35000.0,1.45,2020-2021,STEM,Ivy
Michigan State University (MSU),Agricultural Food and Resource Economics,26340.0,1.28,2020-2021,Social Science,
University of California - Irvine (UCI),Comparative Literature,23000.0,0.79,2022-2023,Humanities,
University of Akron,Polymer Engineering,23500.0,1.19,2021-2022,STEM,
Vanderbilt University,Biomedical engineering ,31000.0,1.35,2020-2021,STEM,
Temple University (TU),chemistry,29000.0,1.2,2022-2023,STEM,
Purdue University - West Lafayette,Human Development and Family Studies ,18300.0,0.87,2022-2023,Humanities,
Johns Hopkins University (JHU),Electrical Engineering,34000.0,1.32,2022-2023,STEM,
University of California - Irvine (UCI),cs,22500.0,0.77,2022-2023,STEM,
Rice University,electrical and computer engineering,35000.0,1.6,2022-2023,STEM,
University of Maryland - College Park (UMD),Computer Science,36000.0,1.19,2022-2023,STEM,
Johns Hopkins University (JHU),Electrical engineering,33000.0,1.28,2020-2021,STEM,
University of Pennsylvania,Electrical and Systems Engineering,35000.0,1.45,2020-2021,STEM,Ivy
University of Pennsylvania,bioengineering,35000.0,1.45,2021-2022,STEM,Ivy
Ohio University (OU),Physics,15486.0,0.74,2020-2021,STEM,
Northeastern University (NU),College of Engineering,35300.0,1.23,2022-2023,STEM,
Virginia Tech,Computer Science,16551.0,0.79,2022-2023,STEM,
Pennsylvania State University (Penn State),Computer Science,26207.0,1.17,2022-2023,STEM,
Northeastern University (NU),Computer Science,40495.0,1.41,2022-2023,STEM,
Massachusetts Institute of Technology (MIT),Linguistics,43111.0,1.54,2021-2022,Social Science,
University of Pennsylvania,Materials Science and Engineering,34500.0,1.43,2021-2022,STEM,Ivy
Stony Brook University - SUNY,Computer,32600.0,1.17,2021-2022,STEM,
University of Virginia (UVA),Physics,28000.0,1.23,2022-2023,STEM,
University of Cincinnati (UC),Immunology,35000.0,1.81,2022-2023,STEM,
University of Cincinnati (UC)/ CCHMC,Immunology,32000.0,,2021-2022,STEM,
University of Pennsylvania,Materials Science and Engineering,34500.0,1.43,2021-2022,STEM,Ivy
Brown University,Earth and Environmental Sciences,43000.0,1.89,2021-2022,STEM,Ivy
Case Western Reserve University,Biomedical Engineering,31960.0,1.6,2020-2021,STEM,
University of Pennsylvania,Computer and Information Science,36500.0,1.51,2020-2021,STEM,Ivy
University of Pennsylvania,Bioengineering PhD,31875.0,1.32,2021-2022,STEM,Ivy
California Institute of Technology (Caltech),Physics,38500.0,1.49,2022-2023,STEM,
University of Pennsylvania,Bioengineering ,34500.0,1.43,2020-2021,STEM,Ivy
University of Pennsylvania,Computer and Information Science,36000.0,1.49,2021-2022,STEM,Ivy
University of Georgia (UGA),Journalism and Mass Communication,17300.0,0.82,2021-2022,Social Science,
University of Pennsylvania,Mechanical Engineering,35000.0,1.45,2021-2022,STEM,Ivy
Rice University,Political Science,26347.0,1.21,2022-2023,Social Science,
University of Pennsylvania,Electrical Engineering,35000.0,1.45,2021-2022,STEM,Ivy
Stony Brook University - SUNY,neuroscience,30000.0,1.07,2021-2022,STEM,
Stony Brook University - SUNY,neuroscience,30000.0,1.07,2021-2022,STEM,
Columbia University (CU),Psychology,37000.0,1.24,2022-2023,Social Science,Ivy
University of Pennsylvania,Material science and engineering ,34500.0,1.43,2020-2021,STEM,Ivy
University of Pennsylvania,Electrical and Systems Engineering ,35500.0,1.47,2020-2021,STEM,Ivy
University of Pennsylvania,Mechanical Engineering and Applied Mechanics,38266.0,1.59,2020-2021,STEM,Ivy
Kansas State University (K-State),Biology,26750.0,1.21,2021-2022,STEM,
Southern Methodist University (SMU),Biological Sciences,29360.0,1.36,2021-2022,STEM,
University of California - Los Angeles (UCLA),Mechanical and Aerospace Engineering,26500.0,1.02,2021-2022,STEM,
University of Illinois - Urbana- Champaign (UIUC),Computer Science,21182.0,0.96,2020-2021,STEM,
Colorado State University (CSU),Physics,19355.0,0.86,2022-2023,STEM,
Colorado State University (CSU),Physics,19355.0,0.86,2021-2022,STEM,
Harvard University (HU),education,38500.0,1.34,2022-2023,Social Science,
Rice University,Electrical,35000.0,1.6,2022-2023,STEM,
Rice University,Electrical,35000.0,1.6,2022-2023,STEM,
University of Oregon (UO),Finance,19726.0,0.94,2020-2021,Business,
University of Pittsburgh,Public Health Human Genetics,33840.0,1.63,2021-2022,Social Science,
CUNY - Baruch College,Information Systems,27000.0,0.91,2022-2023,STEM,
University of Massachusetts - Amherst (UMass),Information Systems,25900.0,1.13,2022-2023,STEM,
University of California - San Diego (UCSD),CSE,26700.0,1.01,2022-2023,STEM,
University of Southern California (USC),Economics,30500.0,1.18,2021-2022,Social Science,
Columbia University (CU),Political Science,39324.0,1.32,2022-2023,Social Science,Ivy
Georgia Institute of Technology (Georgia Tech),Industrial Engineering,27248.0,1.17,2022-2023,STEM,
New York University (NYU),Politics,35070.0,1.18,2022-2023,Social Science,
University of Michigan - Ann Arbor (UM),Social Work,26400.0,1.14,2022-2023,Social Science,
University of Chicago (UC),Statistics,35100.0,1.45,2022-2023,STEM,
Florida International University (FIU),Clinical Psychology,20659.0,0.87,2021-2022,Social Science,
Emory University,Physics,32000.0,1.37,2020-2021,STEM,
Case Western Reserve University,Systems Biology & Bioinformatics,27653.0,1.38,2020-2021,STEM,
Case Western Reserve University,Biomedical Engineering,34000.0,1.7,2020-2021,STEM,
Harvard University (HU),Environmental Health,32090.0,1.12,2022-2023,STEM,
University of Houston (UH),English,21500.0,0.98,2022-2023,Humanities,
University of Illinois - Chicago (UIC),Pharmaceutical Sciences,31700.0,1.31,2020-2021,STEM,
Emory University,English ,32157.0,1.38,2022-2023,Humanities,
University of Washington (UW),Political Science,22590.0,0.97,2022-2023,Social Science,
University of California - Berkeley,history,34000.0,1.22,2021-2022,Humanities,
Baylor College of Medicine,Neuroscience ,35550.0,1.63,2021-2022,STEM,
University of Wisconsin - Madison (UW),Asian Language and cultures,20000.0,0.88,2020-2021,Humanities,
University of Pittsburgh,Sociology,19790.0,0.96,2021-2022,Social Science,
University of Pittsburgh,Sociology,19790.0,0.96,2021-2022,Social Science,
George Washington University (GW),Political Science,29350.0,0.95,2022-2023,Social Science,
Clark University,Geography,19220.0,0.85,2021-2022,STEM,
University of Florida (UF),College of Medicine ,28200.0,1.24,2021-2022,STEM,
Indiana University- Purdue University - Indianapolis (IUPUI),Materials Engineering,26312.0,1.27,2022-2023,STEM,
Pennsylvania State University (Penn State),chemical engineering,33407.0,1.49,2022-2023,STEM,
Arizona State University (ASU),School of Life Sciences,22600.0,1.02,2020-2021,Social Science,
Cornell University (CU),Science and Technology Studies,34691.0,1.43,2022-2023,Humanities,Ivy
University of California - Berkeley,Information Science,34000.0,1.22,2022-2023,STEM,
Washington University in St. Louis (Wash U),Social work ,30000.0,1.45,2022-2023,Social Science,
University of Tennessee - Knoxville,History,16500.0,0.78,2022-2023,Humanities,
University of Texas - Austin (UT),Political Science,22000.0,0.96,2022-2023,Social Science,
Syracuse University,public admin,22250.0,1.04,2022-2023,Social Science,
Pennsylvania State University (Penn State),Geography,28000.0,1.25,2017-2018,STEM,
University of Chicago (UC),Developmental,32925.0,1.36,2022-2023,Social Science,
Pennsylvania State University (Penn State),Geography,22035.0,0.98,2017-2018,STEM,
Pennsylvania State University (Penn State),Geography,20415.0,1.11,2014-2015,STEM,
Rice University,Physics,35000.0,1.6,2020-2021,STEM,
Ohio State University (OSU),Chemistry,28500.0,1.42,2022-2023,STEM,
Rice University,Political Science,27000.0,1.24,2022-2023,Social Science,
University of California - Los Angeles (UCLA),Political Science,28000.0,1.08,2022-2023,Social Science,
University of California - Berkeley,Political Science,34000.0,1.22,2022-2023,Social Science,
Massachusetts Institute of Technology (MIT),Chemical Engineering,45000.0,1.61,2021-2022,STEM,
Carnegie Mellon University (CMU),Systems Neuroscience,32920.0,1.59,2022-2023,STEM,
University of California - Irvine (UCI),Education,22464.0,0.77,2021-2022,Social Science,
University of Virginia (UVA),Biomedical Engineering,32500.0,1.42,2021-2022,STEM,
University of Michigan - Ann Arbor (UM),Biomedical Engineering,33648.0,1.46,2021-2022,STEM,
University of Kansas (KU),Molecular Bioscences,25081.0,1.23,2022-2023,STEM,
University of Kansas (KU),Molecular Bioscences,18742.0,0.92,2022-2023,STEM,
University of California - Irvine (UCI),History,29978.0,1.03,2022-2023,Humanities,
University of Rochester (UR),Philosophy,20400.0,0.95,2022-2023,Humanities,
University of Rochester (UR),Philosophy,20400.0,0.95,2020-2021,Humanities,
University of Maryland - Baltimore (UMB),Biochemistry,31000.0,1.21,2020-2021,STEM,
University of Maryland - Baltimore (UMB),Biochemistry,31000.0,1.21,2020-2021,STEM,
Princeton University,Geosciences,51000.0,2.01,2022-2023,STEM,Ivy
University of California - Berkeley,Anthropology ,34000.0,1.22,2020-2021,Humanities,
Cornell University (CU),Animal Science ,32000.0,1.32,2022-2023,STEM,Ivy
Princeton University,Politics,49100.0,1.93,2022-2023,Social Science,Ivy
Texas A&amp;M; University - College Station,Statistics,22000.0,,2021-2022,STEM,
San Diego State University (SDSU),Chemistry and Biochemistry,28000.0,1.06,2020-2021,STEM,
University of Wisconsin - Madison (UW),Biomedical Engineering,26500.0,1.16,2020-2021,STEM,
